"_c0","text"
"控制算法工程师/主任工程师","C/C++,控制算法工程师	岗位要求：
1、负责电控算法和控制策略开发，
2、负责功能定义剖析，实现算法模型正向开发
3、负责搭建算法验证平台（含联合仿真），对电控算法和控制策略进行虚拟验证
4、负责建立/优化算法开发流程及相关文件（含底盘控制、空调控制、智能配电方向）
任职要求：
1、本科7年，硕士2/5年以上算法开发相关工作经验，有完整的整车项目开发经验者优先；
2、自动化、电子、汽车、机械工程等相关专业本科或以上学历
3、熟悉现代控制理论、非线性控制理论及各种控制方法，有丰富的问题解决经验；
4、熟悉车辆运动学、车辆动力学理论（底盘控制方向）；熟悉热管理、流体力学理论、熟悉多温区空调的软件算法（空调控制方向），熟悉电源及配电系统理论知识（智能配电方向）
5、熟悉一款及以上的算法开发及仿真工具，包括simulink 、C/C++、dSpace、adams、carsim等软件，
6、具备良好的协调沟通能力及较好的抗压能力；
7、身心健康，作风正派，无任何纪律处分记录，具有良好的职业道德养。"
"运动控制算法工程师","	岗位职责：1、负责公司智能装备运动控制算法的开发与实现；2、负责公司智能装备运动轨迹规划算法和优化相关研究工作；3、根据产品规划、系统构架和功能需求完成控制程序开发及文档的编写；4、负责搭建机器视觉系统，进行视觉系统设计、软件开发、调试及相机镜头光源等选型；5、协助技术支持人员，解决客户现场设备的运动控制问题。任职要求：1、本科以上学历，自动化、控制理论与工程、机械制造及其自动化等相关专业毕业；2、3年以上智能装备或自动化设备行业经验，具备智能装备控制相关知识以及运动控制算法设计、建模与控制等方面的研发经验，主导5个以上运动控制项目开发经验者优先；3、精通VC++或C#，熟悉halcon或opencv，熟练使用至少一种运动控制卡（固高，雷赛，研华等）；4、熟悉多轴联动，轨迹规划，速度规划，插补运动算法，了解运动学与动力学相关理论，有点胶机，涂覆机，以及半导体设备场景应用开发者优先；5、熟悉视觉硬件的选型，对市场上主流的相机、镜头和光源有一定的了解；有良好的团队协作精神，勤奋上进，积极主动，勇于接受挑战，能接受项目出差。"
"车端SLAM算法工程师","C++	工作职责
工作职责
负责自车系的local map的研发，对感知、地图信息进行环境融合建模；
基于感知构建静态要素的局部地图，并对车道属性、拓扑进行推理，满足无图下PNC最小集需求；
局部地图可融合感知、SD和HD，多图源融合；
任职要求
能力要求
SLAM背景，熟悉地图匹配、非线性优化等常用技术栈；
3年左右工作经验，有车端模块开发量产经验；
以下二者必须有一：
*良好的数学基础，熟悉滤波、优化、状态估计等常用融合估计技术栈，可以做到解析解求解；
*工程能力优秀，扎实的C++基础，熟悉高效的检索查询数据结构，具备良好的3D几何基础；"
"算法专家","视觉图像算法	<p>工作内容：</p><p>1.     负责半导体光学检测设备的算法方案设计与验证；</p> <p>2.     负责对算法在产品中的应用性能评估和优化；</p> <p>任职要求：</p> <p>1.     硕士及以上学历，计算机、自动化等相关专业，模式识别、信息处理专业优先；</p> <p>2.     熟练掌握C/C++，熟练掌握OpenCV、Halcon等图像处理工具；</p> <p>3.     有高数据通量实时算法开发经验，熟悉CUDA算法优化；</p> <p>4.    英语听说读写良好，能满足日常工作沟通及技术交流；</p> <p>5.     具备较好的组织协调能力、良好的沟通能力及团队合作精神，有团队管理经验优先</p><div><br>职位福利：五险一金、年底双薪、绩效奖金、带薪年假、通讯补助、定期体检、免费班车、员工旅游<br></div>"
"算法工程师","C++,Python,DSP开发	\""职责描述：
1、按产品需求，根据原理算法，完成信号处理算法的详细设计，并确立详细的算法流程图；
2、完成信号处理算法的建模、编程与优化工作；
3、配合完成系统或产品算法性能的验证与测试；
4、完成相关软件算法技术文件的编写；

任职要求：
1、硕士以上学历，数学，电子，通信，计算机相关专业；
2、具备扎实的数学功底和信号处理理论基础，熟悉各种信号处理和识别算法；
3、精通各种数学滤波器的现实，有一定数学建模能力；
4、精通MATLAB工具，熟悉C/C++，python等计算机语言；
5、具备良好的沟通协作能力，有责任心、敬业精神和团队合作精神\"""
"AI算法应用工程师","	岗位职责：
1.负责深度学习及机器学习相关算法的开发和应用
2.负责深度学习相关技术栈及算法的预研和选型
3.负责算法相关的数据处理
任职要求
1.全日制硕士及以上学历，计算机、数学或相关专业
2.1年以上深度学习相关的工作经验
3.熟悉linux系统，熟悉Python，熟悉tensorflow等深度学习框架
4.熟悉逻辑回归、随机森林、决策树、贝叶斯、SVM等基础分类算法
5.熟悉CNN、RNN、DBM、AE等人工智能算法及其原理
6.熟悉有监督学习、无监督学习、强化学习等原理及实现
7.具备极强的编程能力、学习能力和抗压能力
8.技术类竞赛（如数学建模、ACM）一等奖获奖者优先"
"算法工程师（数据模型）","深度学习,数据分析	岗位职责：
1．数据分析：对工业设备监控数据进行数据清洗，转换和分析；
2．模型构建：基于机器学习、深度学习等算法，构建应用于工业领域的算法模型，解决诸如故障预警，功率预测，健康度管理等业务问题；
3．模型开发：对模型进行工程化落地，适配公司技术栈组件接口，并进行算法调优，部署等工作。
任职要求： 
1．本科以上学历，3年以上工作经验，数学、统计、计算机、电子相关专业；
2．熟练掌握回归、分类、聚类等机器学习算法和深度学习算法原理，具有训练、调参经验；
3．熟练使用numpy，pandas，sklearn，pytorch、tenserflow等技术栈，有时序数据分析、预测经验；
4．熟练使用python，R中的一种或多种开发语言；
5．熟悉linux系统，shell脚本，git软件版本管理工具。"
"算法工程师-化工方向","软件服务｜咨询,数据服务｜咨询	岗位职责：1、负责炼油、化工、高分子、煤化工等领域的组分物性、热力学算法或单元设备模型算法开发；2、负责流程模拟软件相关功能模块的技术预研、需求设计等工作；3、完成流程模拟软件的装置建模、功能测试、文档撰写等工作；4、完成临时性任务，如项目技术支持、客户交流等工作。任职要求：1、硕士研究生及以上学历，化工、炼油等相关专业；2、具有一定的化工模型算法开发经验（如原油、固体、电解质体系或间歇过程等）3、熟练掌握至少一种流程模拟软件的建模及应用方法；4、掌握C、C++等至少一门编程语言；5、具有良好的逻辑分析、沟通表达、软件和文档撰写能力。"
"AIGC算法工程师【视觉图像】","Python,大模型算法,图像生成,AIGC,文生图,视觉算法	AIGC文生图领域专家  

岗位职责：
 1. 负责AIGC技术在文生图领域的研究、探索和实际应用，包括文生图、图生图、文本生成等算法在广告、电商、内容创作、游戏等多个行业的落地，如证件照、AI游戏等app应用。
 2. 实施机器学习和深度学习模型的开发、训练、测试和部署，进行性能评估和优化。 
3. 通过数据挖掘和统计分析，从海量数据中提取有价值信息。
 4. 与产品经理、软件工程师等团队协作，将AI技术整合入业务流程。
 5. 探索新技术和应用场景，推动团队创新。 

 任职要求：
 1. 计算机科学、数学、物理等相关专业本科以上学历，视觉算法/图像算法等专业，2年以上相关工作经历。
 2. 精通机器学习和深度学习技术，有实际项目经验，熟悉广告算法，具备大模型训练和调优经验者优先。 
3. 熟悉Python，能熟练使用TensorFlow、PyTorch等机器学习框架，有文生图等AIGC算法研究和落地经验者优先。
 4. 具备数据处理和分析能力，熟悉SQL等数据库技术。 
5. 具有良好的沟通、团队协作和问题解决能力。
 6. 自我驱动力强，对新技术有浓厚兴趣。 

 我们欢迎对AIGC技术有深刻理解和应用热情的专业人士加入，共同推动AIGC技术在各行各业的创新与实践。"
"融合定位算法工程师","Python,C/C++,手机融合定位,车载融合定位,滤波，优化，机器学习	负责多传感器融合定位算法开发，维护，评测等相关工作。
请注意：不招自动驾驶方向和slam方向！

要求：
1、研究生及以上学历，理工科院校，自动化、模式识别、计算机、机器人、航空航天相关专业；
2、熟悉多种定位用传感器：IMU、GNSS、轮速、磁力计、camera等；
3、有融合定位算法经验，包括但不限于滤波、优化、机器学习等；
4、有车载定位或手机定位项目经验优先；
5、有map matching算法经验优先；
6、熟悉C++和python编程；"
